unit_id,base_query_id,base_query,snapshot_round,gold,gold_source,gold_year,volatility,freshness_classes,question_type,mode,n_pages_kept,evidence_chars,old_evidence_chars,old_pages_kept,old_status,request_ids,status_llama8b,status_qwen7b,status_mistral7b,status_pair,status_majority,majority_source
q_008dbbf5@rerun_24h,q_008dbbf5,"The cyclepath/footpath in Devon which follows the Rivers Taw and Torridge is named after which eponymous persecuted animal in the 1926 book by Henry Williamson, made into a film in 1979?",rerun_24h,tarka the otter,triviaqa,,NOT_TIME_KEYED,TIMELESS,DATED,AS_STATED,1,5000,2000,1,VALID_AT_T,p_q_008dbbf5_1,VALID_AT_T,VALID_AT_T,,VALID_AT_T,VALID_AT_T,pair_agreement
q_0095371b@rerun_24h,q_0095371b,In which city was the ILCA 7 World Championship held?,rerun_24h,the hague,temporal_align_qa,2023,VOLATILE,FAST,HISTORICAL,AS_STATED,1,5000,2000,1,SUPERSEDED_AT_T,p_q_0095371b_0,VALID_AT_T,CONTRADICTED_AS_STATED,INDETERMINATE_AT_T,JUDGE_DISAGREEMENT,NO_MAJORITY,three_way_split
q_00b36de6@rerun_24h,q_00b36de6,Which game has the nickname 'Nero's Game' and is probably the oldest dice game still played?,rerun_24h,backgammon,triviaqa,,NOT_TIME_KEYED,TIMELESS,CURRENT_SEEKING,CURRENT,1,1098,1098,1,INDETERMINATE_AT_T,q_00b36de6,INDETERMINATE_AT_T,INDETERMINATE_AT_T,,INDETERMINATE_AT_T,INDETERMINATE_AT_T,pair_agreement
q_01679395@rerun_24h,q_01679395,Which cyclist came third in the most recent La Flèche Wallonne Féminine?,rerun_24h,gaia realini,temporal_align_qa,2023,VOLATILE,MEDIUM,CURRENT_SEEKING,CURRENT,2,651,612,1,INDETERMINATE_AT_T,q_01679395,INDETERMINATE_AT_T,INDETERMINATE_AT_T,,INDETERMINATE_AT_T,INDETERMINATE_AT_T,pair_agreement
q_01db3ce8@rerun_24h,q_01db3ce8,Who partnered Robert Palmer as lead vocalist in the 1970'sband 'Vinegar Joe'?,rerun_24h,elkie brooks,triviaqa,,NOT_TIME_KEYED,TIMELESS,DATED,AS_STATED,1,628,628,1,INDETERMINATE_AT_T,p_q_01db3ce8_0,INDETERMINATE_AT_T,CONTRADICTED_AS_STATED,VALID_AT_T,JUDGE_DISAGREEMENT,NO_MAJORITY,three_way_split
q_0263c2b0@rerun_24h,q_0263c2b0,The River Thames has its source in which county?,rerun_24h,gloucestershire,triviaqa,,NOT_TIME_KEYED,TIMELESS,RECURRING_UNMARKED,CURRENT,1,605,605,1,INDETERMINATE_AT_T,p_q_0263c2b0_2,INDETERMINATE_AT_T,INDETERMINATE_AT_T,,INDETERMINATE_AT_T,INDETERMINATE_AT_T,pair_agreement
q_02665be9@rerun_24h,q_02665be9,Which television series does Damien Garvey appear in?,rerun_24h,the artful dodger,temporal_align_qa,2023,VOLATILE,MEDIUM,RECURRING_UNMARKED,CURRENT,1,1319,1319,1,JUDGE_DISAGREEMENT,p_q_02665be9_2,VALID_AT_T,SUPERSEDED_AT_T,VALID_AT_T,JUDGE_DISAGREEMENT,VALID_AT_T,third_judge_majority
q_02819f41@rerun_24h,q_02819f41,"What is the name of the principal currently in office at St Clare's College, Waverley?",rerun_24h,ann freeman,temporal_align_qa,2023,VOLATILE,SLOW,CURRENT_SEEKING,CURRENT,1,256,256,1,JUDGE_DISAGREEMENT,p_q_02819f41_3,VALID_AT_T,SUPERSEDED_AT_T,VALID_AT_T,JUDGE_DISAGREEMENT,VALID_AT_T,third_judge_majority
q_02895ac6@rerun_24h,q_02895ac6,Who was the trainer of the horse that won the latest Galway Hurdle?,rerun_24h,willie mullins,temporal_align_qa,2023,VOLATILE,MEDIUM,CURRENT_SEEKING,CURRENT,2,879,879,2,JUDGE_DISAGREEMENT,p_q_02895ac6_0,VALID_AT_T,INDETERMINATE_AT_T,VALID_AT_T,JUDGE_DISAGREEMENT,VALID_AT_T,third_judge_majority
q_02dd7c17@rerun_1h,q_02dd7c17,Who is the current representative of California's 31st congressional district?,rerun_1h,100px pete aguilar,temporal_align_qa,2023,VOLATILE,SLOW,CURRENT_SEEKING,CURRENT,2,1622,1515,1,SUPERSEDED_AT_T,q_02dd7c17,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SUPERSEDED_AT_T,pair_agreement
