query_id,audits,base_query_id,base_query,paraphrase,gold_source,gold_year,freshness_class,label_llama8b,label_qwen7b,judges_agree,reused_existing,existing_verdict,final_label
p_q_c26c7630_2,mixed_age_400,q_c26c7630,Who trained the most recent winner of the Prix Robert Papin?,"The poster for Prix Robert Papin who was previously adchieve, from whom?",temporal_align_qa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_b01295a7_2,mixed_age_400,q_b01295a7,Who trained the winning horse in the most recent Champions Cup (horse race)?,Which team gave the carrot and which horse chased out the winner of this season's Champions Cup?,temporal_align_qa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_84993503_1,mixed_age_400|heldout_400,q_84993503,Who was the third crew member to join the most recent spaceflight involving Russian cosmonauts to the International Space Station?,Russian cosmonauts have revealed who was the third male member to journey from Deep House. Can you provide information on their names and location?,temporal_align_qa,2023,FAST,UNCLEAR,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_3568ac16_2,mixed_age_400,q_3568ac16,Which entity owned the winning horse in the most recent Fourstardave Handicap?,Who held the highest stock in Fridaydave Handicap?,temporal_align_qa,2023,FAST,DIFFERENT,DIFFERENT,1,0,,DIFFERENT
p_q_32bb1cf2_2,mixed_age_400,q_32bb1cf2,What is the regular-season winning percentage of the St. Paul Saints?,What RPR is the St. Paul Saints team known for?,temporal_align_qa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
p_q_811a9dea_2,mixed_age_400,q_811a9dea,Who is the reigning junior women's champion of the U.S. Classic?,Who has been the top female athlete in all of American fémininos?,temporal_align_qa,2023,FAST,DIFFERENT,DIFFERENT,1,0,,DIFFERENT
p_q_06267d08_1,mixed_age_400,q_06267d08,Who were the editors of the 'Varsity' (Cambridge) publication in the Michaelmas term most recently?,"The New Year's publication for ""Varsity"" (in the name of Michaelmas) had their editors pre-receiving many articles, anyone?",temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_76be48a4_3,mixed_age_400,q_76be48a4,Which thoroughbred won the Coronation Stakes most recently?,What is the named horse that bagged first in the Coronation Stakes?,temporal_align_qa,2023,FAST,SAME,SAME,1,0,,SAME
p_q_26393420_3,mixed_age_400,q_26393420,Which trainer prepared the winning horse of the latest Queen Elizabeth II Challenge Cup Stakes?,"PART II: Pupée de paye dans 2/1 at Mc’s outpost is $1,995 the trainer of today's Queen Elizabeth I II Challenge Cup Stakes?",temporal_align_qa,2023,FAST,DIFFERENT,DIFFERENT,1,0,,DIFFERENT
p_q_6757b6a9_0,mixed_age_400,q_6757b6a9,Who is the most recent recipient of the Los Angeles Film Critics Association Award for Best Director?,Who was the most recent Los Angeles Film Critics Association Award Winner in 1953 and best director of 1957?,temporal_align_qa,2023,FAST,SAME,DIFFERENT,0,0,,JUDGE_DISAGREEMENT
