query_id,audits,audit_rows,is_paraphrase,base_query_id,base_query,paraphrase_text,incoming_query,gold,gold_answer_c2,gold_matches_c2,n_aliases,gold_source,gold_year,gold_note,provenance_note,freshness_class,t,snapshot_round,n_url_slots,n_distinct_urls,n_snapshots_available,snapshot_complete
p_q_c26c7630_2,mixed_age_400,1,1,q_c26c7630,Who trained the most recent winner of the Prix Robert Papin?,"The poster for Prix Robert Papin who was previously adchieve, from whom?","The poster for Prix Robert Papin who was previously adchieve, from whom?",Christopher Head,Christopher Head,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,504148.3748784788,rerun_24h,2,2,2,1
p_q_b01295a7_2,mixed_age_400,1,1,q_b01295a7,Who trained the winning horse in the most recent Champions Cup (horse race)?,Which team gave the carrot and which horse chased out the winner of this season's Champions Cup?,Which team gave the carrot and which horse chased out the winner of this season's Champions Cup?,Hiroyasu Tanaka,Hiroyasu Tanaka,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,296584.56128180947,rerun_24h,1,1,1,1
p_q_84993503_1,mixed_age_400|heldout_400,2,1,q_84993503,Who was the third crew member to join the most recent spaceflight involving Russian cosmonauts to the International Space Station?,Russian cosmonauts have revealed who was the third male member to journey from Deep House. Can you provide information on their names and location?,Russian cosmonauts have revealed who was the third male member to journey from Deep House. Can you provide information on their names and location?,Francisco Rubio Launch,Francisco Rubio Launch,1,3,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,308778.30978527135,rerun_24h,2,2,2,1
p_q_3568ac16_2,mixed_age_400,1,1,q_3568ac16,Which entity owned the winning horse in the most recent Fourstardave Handicap?,Who held the highest stock in Fridaydave Handicap?,Who held the highest stock in Fridaydave Handicap?,LRE Racing & JEH Racing Stable,LRE Racing & JEH Racing Stable,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,577782.4503803587,rerun_24h,2,2,2,1
p_q_32bb1cf2_2,mixed_age_400,1,1,q_32bb1cf2,What is the regular-season winning percentage of the St. Paul Saints?,What RPR is the St. Paul Saints team known for?,What RPR is the St. Paul Saints team known for?,0.568,0.568,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,476625.08616441576,rerun_24h,1,1,1,1
p_q_811a9dea_2,mixed_age_400,1,1,q_811a9dea,Who is the reigning junior women's champion of the U.S. Classic?,Who has been the top female athlete in all of American fémininos?,Who has been the top female athlete in all of American fémininos?,Kieryn Finnell,Kieryn Finnell,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,526150.7653117855,rerun_24h,2,2,2,1
p_q_06267d08_1,mixed_age_400,1,1,q_06267d08,Who were the editors of the 'Varsity' (Cambridge) publication in the Michaelmas term most recently?,"The New Year's publication for ""Varsity"" (in the name of Michaelmas) had their editors pre-receiving many articles, anyone?","The New Year's publication for ""Varsity"" (in the name of Michaelmas) had their editors pre-receiving many articles, anyone?",Megan Byrom & Famke Veenstra-Ashmore,Megan Byrom & Famke Veenstra-Ashmore,1,3,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,110331.19886943005,rerun_24h,1,1,1,1
p_q_76be48a4_3,mixed_age_400,1,1,q_76be48a4,Which thoroughbred won the Coronation Stakes most recently?,What is the named horse that bagged first in the Coronation Stakes?,What is the named horse that bagged first in the Coronation Stakes?,Tahiyra,Tahiyra,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,545086.9321742738,rerun_24h,1,1,1,1
p_q_26393420_3,mixed_age_400,1,1,q_26393420,Which trainer prepared the winning horse of the latest Queen Elizabeth II Challenge Cup Stakes?,"PART II: Pupée de paye dans 2/1 at Mc’s outpost is $1,995 the trainer of today's Queen Elizabeth I II Challenge Cup Stakes?","PART II: Pupée de paye dans 2/1 at Mc’s outpost is $1,995 the trainer of today's Queen Elizabeth I II Challenge Cup Stakes?",Saeed bin Suroor,Saeed bin Suroor,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,542827.7649784981,rerun_24h,4,2,2,1
p_q_6757b6a9_0,mixed_age_400,1,1,q_6757b6a9,Who is the most recent recipient of the Los Angeles Film Critics Association Award for Best Director?,Who was the most recent Los Angeles Film Critics Association Award Winner in 1953 and best director of 1957?,Who was the most recent Los Angeles Film Critics Association Award Winner in 1953 and best director of 1957?,Jonathan Glazer,Jonathan Glazer,1,1,temporal_align_qa,2023,propagated from verified-faithful paraphrase,propagated from verified-faithful paraphrase,FAST,462681.72533585277,rerun_24h,2,2,2,1
