query_id,fc_tier,lv_tier,lv_verdict,serving_changed,fresh,fc,lv,fc_wai,lv_wai,fc_suff_llama8b,fc_suff_qwen7b,lv_suff_llama8b,lv_suff_qwen7b,fc_suff_agreed,lv_suff_agreed
p_q_6d00c75f_2,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_84993503_1,miss,miss,,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_134739ad_3,miss,miss,,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_e52c4939_0,L2,L2,ACCEPT,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_359f65e2_2,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_7954a9bc_0,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_fa771a57_3,miss,miss,,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_c7e889d2_1,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_29f9cc16_1,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_2bbc82e4_2,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_8efe208f_0,miss,miss,,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_23baebab_2,miss,miss,,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
p_q_2b37471e_0,miss,miss,,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_9ad3d8f7_0,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_ea6dfe5b_0,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_5e69097f_1,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_311e11e2_1,miss,miss,,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_66b78d55_0,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_1c3ba216_2,miss,miss,,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_9c8a947a_1,L2,L2,ACCEPT,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_ef0e26fc_1,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_d0506c00_0,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_885601a2_3,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,SUFFICIENT,SUFFICIENT,INSUFFICIENT,SUFFICIENT
p_q_ff13db06_0,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_3c8e1699_1,L2,miss,,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT,SUFFICIENT
p_q_8b83e11f_0,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_21078da3_1,miss,miss,,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_297334f5_3,miss,miss,,1,WRONG,WRONG,WRONG,0,0,SUFFICIENT,INSUFFICIENT,SUFFICIENT,INSUFFICIENT,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT
p_q_badb7460_3,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,SUFFICIENT,SUFFICIENT,INSUFFICIENT,SUFFICIENT
p_q_5284772a_2,miss,miss,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_76a7b4a6_1,miss,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_b16f0265_3,L2,miss_rejected,REJECT,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_26393420_2,L1,L1,,0,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT
p_q_830461c0_2,L1,L1,,1,WRONG,WRONG,WRONG,0,0,INSUFFICIENT,INSUFFICIENT,SUFFICIENT,SUFFICIENT,INSUFFICIENT,SUFFICIENT
