query_id,fidelity,validity,in_evidence_valid_subset,exclusion_reason,gold_source,gold_year,freshness_class,volatility,unit_id,snapshot_round
p_q_c26c7630_2,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT,0,paraphrase_judge_disagreement,temporal_align_qa,2023,FAST,VOLATILE,q_c26c7630@rerun_24h,rerun_24h
p_q_b01295a7_2,JUDGE_DISAGREEMENT,SUPERSEDED_AT_T,0,paraphrase_judge_disagreement,temporal_align_qa,2023,FAST,VOLATILE,q_b01295a7@rerun_24h,rerun_24h
p_q_84993503_1,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT,0,paraphrase_judge_disagreement,temporal_align_qa,2023,FAST,VOLATILE,q_84993503@rerun_24h,rerun_24h
p_q_3568ac16_2,DIFFERENT,JUDGE_DISAGREEMENT,0,paraphrase_different,temporal_align_qa,2023,FAST,VOLATILE,q_3568ac16@rerun_24h,rerun_24h
p_q_32bb1cf2_2,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT,0,paraphrase_judge_disagreement,temporal_align_qa,2023,FAST,VOLATILE,q_32bb1cf2@rerun_24h,rerun_24h
p_q_811a9dea_2,DIFFERENT,INDETERMINATE_AT_T,0,paraphrase_different,temporal_align_qa,2023,FAST,VOLATILE,q_811a9dea@rerun_24h,rerun_24h
p_q_06267d08_1,SAME,JUDGE_DISAGREEMENT,0,validity_judge_disagreement,temporal_align_qa,2023,FAST,VOLATILE,q_06267d08@rerun_24h,rerun_24h
p_q_76be48a4_3,SAME,JUDGE_DISAGREEMENT,0,validity_judge_disagreement,temporal_align_qa,2023,FAST,VOLATILE,q_76be48a4@rerun_24h,rerun_24h
p_q_26393420_3,DIFFERENT,SUPERSEDED_AT_T,0,paraphrase_different,temporal_align_qa,2023,FAST,VOLATILE,q_26393420@rerun_24h,rerun_24h
p_q_6757b6a9_0,JUDGE_DISAGREEMENT,INDETERMINATE_AT_T,0,paraphrase_judge_disagreement,temporal_align_qa,2023,FAST,VOLATILE,q_6757b6a9@rerun_24h,rerun_24h
p_q_84993503_3,DIFFERENT,JUDGE_DISAGREEMENT,0,paraphrase_different,temporal_align_qa,2023,FAST,VOLATILE,q_84993503@rerun_24h,rerun_24h
p_q_2b37471e_0,SAME,INDETERMINATE_AT_T,0,validity_indeterminate_at_t,temporal_align_qa,2023,FAST,VOLATILE,q_2b37471e@rerun_24h,rerun_24h
p_q_4d8a4de4_1,SAME,SUPERSEDED_AT_T,0,validity_superseded_at_t,temporal_align_qa,2023,FAST,VOLATILE,q_4d8a4de4@rerun_24h,rerun_24h
p_q_056f7935_3,DIFFERENT,JUDGE_DISAGREEMENT,0,paraphrase_different,temporal_align_qa,2023,FAST,VOLATILE,q_056f7935@rerun_24h,rerun_24h
p_q_8b83e11f_0,JUDGE_DISAGREEMENT,SUPERSEDED_AT_T,0,paraphrase_judge_disagreement,temporal_align_qa,2023,FAST,VOLATILE,q_8b83e11f@rerun_24h,rerun_24h
p_q_28911a13_1,DIFFERENT,SUPERSEDED_AT_T,0,paraphrase_different,temporal_align_qa,2023,FAST,VOLATILE,q_28911a13@rerun_24h,rerun_24h
p_q_665a6704_2,DIFFERENT,SUPERSEDED_AT_T,0,paraphrase_different,temporal_align_qa,2023,FAST,VOLATILE,q_665a6704@rerun_24h,rerun_24h
p_q_0da13098_2,JUDGE_DISAGREEMENT,INDETERMINATE_AT_T,0,paraphrase_judge_disagreement,temporal_align_qa,2023,FAST,VOLATILE,q_0da13098@rerun_24h,rerun_24h
p_q_a06c234c_3,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT,0,paraphrase_judge_disagreement,temporal_align_qa,2023,FAST,VOLATILE,q_a06c234c@rerun_12h,rerun_12h
p_q_60502f3b_1,JUDGE_DISAGREEMENT,SUPERSEDED_AT_T,0,paraphrase_judge_disagreement,temporal_align_qa,2023,FAST,VOLATILE,q_60502f3b@rerun_24h,rerun_24h
p_q_297334f5_3,SAME,SUPERSEDED_AT_T,0,validity_superseded_at_t,temporal_align_qa,2023,FAST,VOLATILE,q_297334f5@rerun_24h,rerun_24h
p_q_c76a7d5e_3,JUDGE_DISAGREEMENT,JUDGE_DISAGREEMENT,0,paraphrase_judge_disagreement,temporal_align_qa,2023,FAST,VOLATILE,q_c76a7d5e@rerun_24h,rerun_24h
p_q_b9a64a4f_1,SAME,INDETERMINATE_AT_T,0,validity_indeterminate_at_t,temporal_align_qa,2023,FAST,VOLATILE,q_b9a64a4f@rerun_24h,rerun_24h
p_q_b96cebd8_2,JUDGE_DISAGREEMENT,SUPERSEDED_AT_T,0,paraphrase_judge_disagreement,temporal_align_qa,2023,FAST,VOLATILE,q_b96cebd8@rerun_24h,rerun_24h
