unit_id,base_query_id,snapshot_round,n_requests,gold_source,original_gold_year,volatility,years_annotated,latest_annotated_year,years_gap_to_corpus,stable_across_annotated_years,gold_equals_latest_annotated,gold_differs_from_some_annotated_year
q_008dbbf5@rerun_24h,q_008dbbf5,rerun_24h,1,triviaqa,,NOT_TIME_KEYED,,,,,,
q_0095371b@rerun_24h,q_0095371b,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_00b36de6@rerun_24h,q_00b36de6,rerun_24h,1,triviaqa,,NOT_TIME_KEYED,,,,,,
q_01679395@rerun_24h,q_01679395,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_01db3ce8@rerun_24h,q_01db3ce8,rerun_24h,1,triviaqa,,NOT_TIME_KEYED,,,,,,
q_0263c2b0@rerun_24h,q_0263c2b0,rerun_24h,1,triviaqa,,NOT_TIME_KEYED,,,,,,
q_02665be9@rerun_24h,q_02665be9,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_02819f41@rerun_24h,q_02819f41,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_02895ac6@rerun_24h,q_02895ac6,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_02dd7c17@rerun_1h,q_02dd7c17,rerun_1h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_02fa4ec7@rerun_12h,q_02fa4ec7,rerun_12h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_032b7664@rerun_12h,q_032b7664,rerun_12h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_039dd524@rerun_24h,q_039dd524,rerun_24h,2,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_03f72c57@rerun_24h,q_03f72c57,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_04a0842f@rerun_24h,q_04a0842f,rerun_24h,1,freshqa,2022,SINGLE_YEAR,2022,2022,4,,1,
q_04a7276c@rerun_24h,q_04a7276c,rerun_24h,1,triviaqa,,NOT_TIME_KEYED,,,,,,
q_04bb5dc1@rerun_24h,q_04bb5dc1,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_056f7935@rerun_24h,q_056f7935,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_06267d08@rerun_24h,q_06267d08,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_06c15fe9@rerun_24h,q_06c15fe9,rerun_24h,1,triviaqa,,NOT_TIME_KEYED,,,,,,
q_083bf58e@rerun_24h,q_083bf58e,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_0862570f@rerun_24h,q_0862570f,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_0899721b@rerun_24h,q_0899721b,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_091915f0@rerun_24h,q_091915f0,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_091c3460@rerun_24h,q_091c3460,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_093b18d5@rerun_24h,q_093b18d5,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_09b65984@rerun_1h,q_09b65984,rerun_1h,1,triviaqa,,NOT_TIME_KEYED,,,,,,
q_0a3d5709@rerun_24h,q_0a3d5709,rerun_24h,1,temporal_align_qa,2023,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",2023,3,0,1,1
q_0a45943e@rerun_24h,q_0a45943e,rerun_24h,1,triviaqa,,NOT_TIME_KEYED,,,,,,
