unit_id,base_query_id,snapshot_round,base_query,n_requests,request_ids,gold,n_distinct_golds,gold_source,gold_year,n_distinct_urls,n_snapshots_available,snapshot_complete,any_snapshot
q_008dbbf5@rerun_24h,q_008dbbf5,rerun_24h,"The cyclepath/footpath in Devon which follows the Rivers Taw and Torridge is named after which eponymous persecuted animal in the 1926 book by Henry Williamson, made into a film in 1979?",1,p_q_008dbbf5_1,tarka the otter,1,triviaqa,,1,1,1,1
q_0095371b@rerun_24h,q_0095371b,rerun_24h,In which city was the ILCA 7 World Championship held?,1,p_q_0095371b_0,the hague,1,temporal_align_qa,2023,1,1,1,1
q_00b36de6@rerun_24h,q_00b36de6,rerun_24h,Which game has the nickname 'Nero's Game' and is probably the oldest dice game still played?,1,q_00b36de6,backgammon,1,triviaqa,,1,1,1,1
q_01679395@rerun_24h,q_01679395,rerun_24h,Which cyclist came third in the most recent La Flèche Wallonne Féminine?,1,q_01679395,gaia realini,1,temporal_align_qa,2023,2,2,1,1
q_01db3ce8@rerun_24h,q_01db3ce8,rerun_24h,Who partnered Robert Palmer as lead vocalist in the 1970'sband 'Vinegar Joe'?,1,p_q_01db3ce8_0,elkie brooks,1,triviaqa,,1,1,1,1
q_0263c2b0@rerun_24h,q_0263c2b0,rerun_24h,The River Thames has its source in which county?,1,p_q_0263c2b0_2,gloucestershire,1,triviaqa,,1,1,1,1
q_02665be9@rerun_24h,q_02665be9,rerun_24h,Which television series does Damien Garvey appear in?,1,p_q_02665be9_2,the artful dodger,1,temporal_align_qa,2023,1,1,1,1
q_02819f41@rerun_24h,q_02819f41,rerun_24h,"What is the name of the principal currently in office at St Clare's College, Waverley?",1,p_q_02819f41_3,ann freeman,1,temporal_align_qa,2023,1,1,1,1
q_02895ac6@rerun_24h,q_02895ac6,rerun_24h,Who was the trainer of the horse that won the latest Galway Hurdle?,1,p_q_02895ac6_0,willie mullins,1,temporal_align_qa,2023,2,2,1,1
q_02dd7c17@rerun_1h,q_02dd7c17,rerun_1h,Who is the current representative of California's 31st congressional district?,1,q_02dd7c17,100px pete aguilar,1,temporal_align_qa,2023,2,2,1,1
q_02fa4ec7@rerun_12h,q_02fa4ec7,rerun_12h,Who was the top league scorer for Everton F.C.?,1,p_q_02fa4ec7_1,d. mcneil,1,temporal_align_qa,2023,1,1,1,1
q_032b7664@rerun_12h,q_032b7664,rerun_12h,Who are presenting the trophy at the Kentucky Derby?,1,p_q_032b7664_1,rebecca lowe and ahmed fareed,1,temporal_align_qa,2023,1,1,1,1
q_039dd524@rerun_24h,q_039dd524,rerun_24h,From what school did the latest Dan Hodge Trophy winner come from?,2,p_q_039dd524_2|p_q_039dd524_1,michigan,1,temporal_align_qa,2023,2,2,1,1
q_03f72c57@rerun_24h,q_03f72c57,rerun_24h,Where was the last FA Trophy final held?,1,p_q_03f72c57_0,wembley stadium,1,temporal_align_qa,2023,1,1,1,1
q_04a0842f@rerun_24h,q_04a0842f,rerun_24h,In what city did the first successful heart transplant from a pig to a human patient take place?,1,q_04a0842f,baltimore,1,freshqa,2022,3,3,1,1
q_04a7276c@rerun_24h,q_04a7276c,rerun_24h,What type of bird is a ptarmigan?,1,q_04a7276c,grouse,1,triviaqa,,1,1,1,1
q_04bb5dc1@rerun_24h,q_04bb5dc1,rerun_24h,Which horse won the Chesham Stakes most recently?,1,p_q_04bb5dc1_2,snellen,1,temporal_align_qa,2023,1,1,1,1
q_056f7935@rerun_24h,q_056f7935,rerun_24h,Which city is the home of the most recent champion of the Campeonato Paulista Série A3?,1,p_q_056f7935_3,capivari,1,temporal_align_qa,2023,1,1,1,1
