unit_id,base_query_id,base_query,snapshot_round,gold,gold_source,gold_year,volatility,freshness_classes,n_requests,request_ids,n_urls,n_pages_kept,evidence_chars,status_llama8b,status_qwen7b,judges_agree,final_status,reason
q_008dbbf5@rerun_24h,q_008dbbf5,"The cyclepath/footpath in Devon which follows the Rivers Taw and Torridge is named after which eponymous persecuted animal in the 1926 book by Henry Williamson, made into a film in 1979?",rerun_24h,tarka the otter,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_008dbbf5_1,1,1,2000,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_0263c2b0@rerun_24h,q_0263c2b0,The River Thames has its source in which county?,rerun_24h,gloucestershire,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_0263c2b0_2,1,1,605,INDETERMINATE_AT_T,INDETERMINATE_AT_T,1,INDETERMINATE_AT_T,dual_judge_agreement
q_02819f41@rerun_24h,q_02819f41,"What is the name of the principal currently in office at St Clare's College, Waverley?",rerun_24h,ann freeman,temporal_align_qa,2023,VOLATILE,SLOW,1,p_q_02819f41_3,1,1,256,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_06c15fe9@rerun_24h,q_06c15fe9,What colour is Santa Claus' belt?,rerun_24h,black,triviaqa,,NOT_TIME_KEYED,TIMELESS,1,p_q_06c15fe9_1,2,1,1227,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_0c4788f0@rerun_24h,q_0c4788f0,Welsh singer Michael Barratt is better known by which name?,rerun_24h,shakin' stevens,triviaqa,,NOT_TIME_KEYED,TIMELESS,2,p_q_0c4788f0_0|p_q_0c4788f0_1,1,1,770,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_0e3fb3ca@rerun_24h,q_0e3fb3ca,"What famous event for daredevils happens in Pamplona, Spain?",rerun_24h,running of the bulls,triviaqa,,NOT_TIME_KEYED,TIMELESS,2,p_q_0e3fb3ca_0|q_0e3fb3ca,2,1,2000,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_1387f241@rerun_24h,q_1387f241,What is the hometown of the reigning Miss Iowa Teen USA?,rerun_24h,ankeny,temporal_align_qa,2023,VOLATILE,FAST,1,p_q_1387f241_3,2,1,606,INDETERMINATE_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_15c687de@rerun_24h,q_15c687de,Who was the victorious driver in the Daytona 300 race?,rerun_24h,austin hill,temporal_align_qa,2023,VOLATILE,MEDIUM,1,p_q_15c687de_0,2,2,2639,VALID_AT_T,SUPERSEDED_AT_T,0,JUDGE_DISAGREEMENT,judges_disagree
q_16e427cd@rerun_24h,q_16e427cd,In which capital city is the Tivoli amusement park?,rerun_24h,copenhagen,triviaqa,,NOT_TIME_KEYED,TIMELESS,2,p_q_16e427cd_0|p_q_16e427cd_2,2,2,2802,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
q_1ed44863@rerun_24h,q_1ed44863,Who is the current representative for Louisiana's 4th congressional district?,rerun_24h,mike johnson,temporal_align_qa,2023,VOLATILE,SLOW,1,p_q_1ed44863_1,1,1,1501,VALID_AT_T,VALID_AT_T,1,VALID_AT_T,dual_judge_agreement
