audit,query_id,query,gold,fc,t,in_S,arms,sttl_k1_8_present
mixed_age_400,p_q_c26c7630_2,"The poster for Prix Robert Papin who was previously adchieve, from whom?",Christopher Head,FAST,504148.3748784788,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_b01295a7_2,Which team gave the carrot and which horse chased out the winner of this season's Champions Cup?,Hiroyasu Tanaka,FAST,296584.56128180947,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_84993503_1,Russian cosmonauts have revealed who was the third male member to journey from Deep House. Can you provide information on their names and location?,Francisco Rubio Launch,FAST,308778.30978527135,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_3568ac16_2,Who held the highest stock in Fridaydave Handicap?,LRE Racing & JEH Racing Stable,FAST,577782.4503803587,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_32bb1cf2_2,What RPR is the St. Paul Saints team known for?,0.568,FAST,476625.08616441576,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_811a9dea_2,Who has been the top female athlete in all of American fémininos?,Kieryn Finnell,FAST,526150.7653117855,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_06267d08_1,"The New Year's publication for ""Varsity"" (in the name of Michaelmas) had their editors pre-receiving many articles, anyone?",Megan Byrom & Famke Veenstra-Ashmore,FAST,110331.19886943005,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_76be48a4_3,What is the named horse that bagged first in the Coronation Stakes?,Tahiyra,FAST,545086.9321742738,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_26393420_3,"PART II: Pupée de paye dans 2/1 at Mc’s outpost is $1,995 the trainer of today's Queen Elizabeth I II Challenge Cup Stakes?",Saeed bin Suroor,FAST,542827.7649784981,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_6757b6a9_0,Who was the most recent Los Angeles Film Critics Association Award Winner in 1953 and best director of 1957?,Jonathan Glazer,FAST,462681.72533585277,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_84993503_3,"Among the three Russian cosmonauts who joined the International Space Station, which one will remain off board?",Francisco Rubio Launch,FAST,604504.1029161615,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_2b37471e_0,Judson High School Football: What was the outcome of Thursday at City College?,Lost in area round to state quarterfinalist Dripping Springs 34-38,FAST,537304.7556869034,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_4d8a4de4_1,Who are all the cast members of the CD that won a Grammy Award for Best Historical Album at this point in time?,Wilco,FAST,284386.0488355719,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_056f7935_3,Which of the seven cities that made it to the finals of Juventus Championship was still undefeated in the championship round of 16.1 last year?,Capivari,FAST,594438.2355575791,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_8b83e11f_0,Have you heard any update on the OOPSLA committee's meeting?,Vasco Vasconcelos,FAST,188604.77446735563,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_28911a13_1,Which Australian is achieving to win the title of President this year?,Taryn Brumfitt,FAST,359413.6182147836,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_665a6704_2,Who was ousted from contention at the Chubb Classic?,DEU Bernhard Langer,FAST,586006.1561880802,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_0da13098_2,Could you inform me of the message that will be shared at Frankfurt Book Fair?,Honeycomb of Words,FAST,248648.78570679287,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_a06c234c_3,What songs ended up being the most outstanding during this year's Melodifestivalen?,"Jimmy Thörnfeldt, Jimmy Jansson, Lorine Talhaoui, Moa Carlebecker, Peter Boström, Thomas G:son",FAST,84807.34212495499,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_60502f3b_1,Who was recognized as the 2017 BBC Sports Personality Team of the Year Award Driver?,Manchester City F.C.,FAST,271890.87431561266,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_297334f5_3,Which Super Bowl video game replay professional was the main figure?,Mark Butterworth,FAST,536778.6807554624,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_c76a7d5e_3,Who topped the previous Royal Hunt Cup Standings with their performance?,Jimi Hendrix,FAST,204972.96468603422,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_b9a64a4f_1,What does the symbolism behind Sydney's New Year'event command be?,"One night, many ways to celebrate",FAST,482161.8493545327,False,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_b96cebd8_2,Which team Last supported with USBWA National Freshman of the Year (2017) most recently?,2022–23,FAST,393974.2607121406,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_b5bab848_2,Which piece of music received the best Salsa award at this years dernière LAMS?,Niche Sinfónico,FAST,603740.7700349479,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_6a6b8494_3,"In the last one we published, which individual put up the most follower tweets?",Elon Musk,FAST,309020.01183145103,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_77b08615_0,"In the Black-Eyed Susan Stakes, who was the winner?","NET Racing, Michael Dubb, First Row Partners & Team Hanley",FAST,292809.70717230294,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_531f875a_2,Which horse won the latest Avondale Cup at Avogh Hall on 22nd February 2006?,Aquacade,FAST,297794.8818418889,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_1dc7b96e_3,Do you happen to know who will win the Turf Classic Stakes just this week?,Up to the Mark,FAST,170272.2165896591,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_69646c02_0,Could you determine the age of the TikTok user with a stream’s largest following?,23 years old,FAST,583972.6346009438,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_747bbca1_3,What is the name of the tennis player who becomes Wimbledon women's champion?,Czech Republic,FAST,210989.09419756773,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_6dce83d8_2,What is the maximum number of field goals scored by one team in a Women's National Basketball Association season?,285,FAST,546223.6293688965,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_2d3da894_1,What team actually took back the clean slate on Opening Day @ Miami Marlins?,Jazz Chisholm Jr. CF,FAST,123675.81149709452,True,fresh|on|off|sttl_k1_8,1
mixed_age_400,p_q_32bb1cf2_0,How much percentage (RSS) of the Saints winning is this year?,0.568,FAST,445878.03474138933,True,fresh|on|off|sttl_k1_8,1
