base_query_id,base_query,gold_answer,n_aliases,gold_source,original_gold_year,n_requests,volatility,years_annotated,n_years_annotated,latest_annotated_year,years_gap_to_corpus,n_distinct_answer_sets,stable_across_annotated_years,gold_equals_latest_annotated,gold_differs_from_some_annotated_year,answer_at_latest_year,freshqa_next_review,freshqa_fact_type,freshqa_false_premise,note
q_008dbbf5,"The cyclepath/footpath in Devon which follows the Rivers Taw and Torridge is named after which eponymous persecuted animal in the 1926 book by Henry Williamson, made into a film in 1979?",TARKA THE OTTER,4,triviaqa,,1,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_0095371b,In which city was the ILCA 7 World Championship held?,The Hague,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,24,0,1,1,the hague,,,,24 distinct answer sets across 24 years
q_00b36de6,Which game has the nickname 'Nero's Game' and is probably the oldest dice game still played?,BACKGAMMON,12,triviaqa,,1,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_01679395,Which cyclist came third in the most recent La Flèche Wallonne Féminine?,Gaia Realini,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,15,0,1,1,gaia realini,,,,15 distinct answer sets across 24 years
q_01db3ce8,Who partnered Robert Palmer as lead vocalist in the 1970'sband 'Vinegar Joe'?,ELKIE BROOKS,12,triviaqa,,1,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_0263c2b0,The River Thames has its source in which county?,Gloucestershire,12,triviaqa,,1,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_02665be9,Which television series does Damien Garvey appear in?,The Artful Dodger,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,24,0,1,1,the artful dodger,,,,24 distinct answer sets across 24 years
q_02819f41,"What is the name of the principal currently in office at St Clare's College, Waverley?",Ann Freeman,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,7,0,1,1,ann freeman,,,,7 distinct answer sets across 24 years
q_02895ac6,Who was the trainer of the horse that won the latest Galway Hurdle?,Willie Mullins,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,14,0,1,1,willie mullins,,,,14 distinct answer sets across 24 years
q_02dd7c17,Who is the current representative of California's 31st congressional district?,100px Pete Aguilar,3,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,6,0,1,1,100px gary miller | 100px grace napolitano | 100px pete aguilar,,,,6 distinct answer sets across 24 years
q_02fa4ec7,Who was the top league scorer for Everton F.C.?,D. McNeil,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,22,0,1,1,d. mcneil,,,,22 distinct answer sets across 24 years
q_032b7664,Who are presenting the trophy at the Kentucky Derby?,Rebecca Lowe and Ahmed Fareed,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,10,0,1,1,rebecca lowe and ahmed fareed,,,,10 distinct answer sets across 24 years
q_039dd524,From what school did the latest Dan Hodge Trophy winner come from?,Michigan,1,temporal_align_qa,2023,2,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,15,0,1,1,michigan,,,,15 distinct answer sets across 24 years
q_03f72c57,Where was the last FA Trophy final held?,Wembley Stadium,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,5,0,1,1,wembley stadium,,,,5 distinct answer sets across 24 years
q_04a0842f,In what city did the first successful heart transplant from a pig to a human patient take place?,Baltimore,5,freshqa,2022,1,SINGLE_YEAR,2022,1,2022,4,,,1,,,,never-changing,,"FreshQA carries a single effective_year, not a year series — volatility UNDETERMINED; next_review='', fact_type='never-changing'"
q_04a7276c,What type of bird is a ptarmigan?,Grouse,6,triviaqa,,1,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_04bb5dc1,Which horse won the Chesham Stakes most recently?,Snellen,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,24,0,1,1,snellen,,,,24 distinct answer sets across 24 years
q_056f7935,Which city is the home of the most recent champion of the Campeonato Paulista Série A3?,Capivari,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,20,0,1,1,capivari,,,,20 distinct answer sets across 24 years
q_06267d08,Who were the editors of the 'Varsity' (Cambridge) publication in the Michaelmas term most recently?,Megan Byrom & Famke Veenstra-Ashmore,3,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,24,0,1,1,hannah gillott & erik olsson | isabel dempsey & taneesha datta | megan byrom & famke veenstra-ashmore,,,,24 distinct answer sets across 24 years
q_06c15fe9,What colour is Santa Claus' belt?,Black,12,triviaqa,,1,NOT_TIME_KEYED,,0,,,,,,,,,,,TriviaQA carries no year-keyed annotation
q_083bf58e,Who is the current kit supplier for the Peru national football team?,Germany Adidas,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,6,0,1,1,germany adidas,,,,6 distinct answer sets across 24 years
q_0862570f,Who holds the position of representative for Utah's 4th congressional district?,Burgess Owens,1,temporal_align_qa,2023,1,VOLATILE,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24,2023,3,9,0,1,1,burgess owens,,,,9 distinct answer sets across 24 years
