policy,query_id,fc,path,n_fetched,n_from_cache,embedding,l1_lookup,l2_lookup,l3_processing,search_api,page_fetch,llm_generation,total_ms,answer_chars
NoCache,p_q_000040_0,TIMELESS,nocache,4,0,0.0,0.0,0.0,0.0,1971.3443,448.5419,306.2808,2727.6764,66
NoCache,p_q_000142_1,TIMELESS,nocache,4,0,0.0,0.0,0.0,0.0,1470.2459,2244.7674,1090.546,4870.054,275
NoCache,p_q_000331_1,REAL_TIME,nocache,4,0,0.0,0.0,0.0,0.0,910.0633,1623.6937,241.5611,2823.9903,75
NoCache,p_q_000331_3,REAL_TIME,nocache,4,0,0.0,0.0,0.0,0.0,784.8355,1048.5798,942.7341,2824.6189,275
NoCache,p_q_0b7949bb_0,FAST,nocache,2,0,0.0,0.0,0.0,0.0,1218.9177,2408.0903,359.7611,4002.7374,97
NoCache,p_q_13071539_2,MEDIUM,nocache,1,0,0.0,0.0,0.0,0.0,1372.4932,1332.4058,448.5569,3189.2685,126
NoCache,p_q_177880b1_0,MEDIUM,nocache,1,0,0.0,0.0,0.0,0.0,767.6154,1731.8615,526.9659,3060.1304,165
NoCache,p_q_1ef7404e_2,FAST,nocache,2,0,0.0,0.0,0.0,0.0,775.1176,2306.5449,757.2949,3842.4707,256
NoCache,p_q_26309cb6_1,FAST,nocache,1,0,0.0,0.0,0.0,0.0,1008.2405,833.2688,581.4902,2492.5503,161
NoCache,p_q_35a57f29_2,TIMELESS,nocache,1,0,0.0,0.0,0.0,0.0,965.3171,1887.4507,666.8494,3520.9378,200
NoCache,p_q_3704b8f2_3,TIMELESS,nocache,1,0,0.0,0.0,0.0,0.0,891.4679,979.2668,260.7035,2147.241,55
NoCache,p_q_43affc2b_0,TIMELESS,nocache,2,0,0.0,0.0,0.0,0.0,4451.7176,1658.0409,754.6655,6870.6398,218
NoCache,p_q_4d556954_1,TIMELESS,nocache,1,0,0.0,0.0,0.0,0.0,1027.1951,2837.401,1185.2103,5050.3256,384
