query_id,unit_id,class,gold,gold_year,volatility,request_t_s,version_at_t,unit_snapshot_round,orig_n_pages,orig_evidence_chars,orig_llama8b,orig_llama8b_raw,orig_qwen7b,orig_qwen7b_raw,orig_final,rev_mode,rev_evidence_chars,rev_llama8b,rev_qwen7b,rev_mistral7b,rev_majority,fidelity,in_107,in_57,evidence_pages_fetched_at
p_q_6d00c75f_2,q_6d00c75f@rerun_24h,CONTRADICTED,"Wed, Mar 22 – Fri, Apr 21",2023,SINGLE_YEAR,581443.132811173,rerun_24h,rerun_24h,1,1161,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,1161,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,JUDGE_DISAGREEMENT,0,0,2026-05-24T06:47:33.544303+00:00|2026-05-24T06:47:33.544303+00:00
p_q_84993503_1,q_84993503@rerun_24h,TEMPORALLY_AMBIGUOUS,Francisco Rubio Launch,2023,VOLATILE,308778.30978527135,rerun_24h,rerun_24h,1,1689,VALID_AT_T,"VALID

The evidence mentions the",SUPERSEDED_AT_T,SUPERSEDED,JUDGE_DISAGREEMENT,CURRENT,1784,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,JUDGE_DISAGREEMENT,0,0,2026-06-13T14:20:19.543740+00:00|2026-06-13T14:20:22.240396+00:00
p_q_134739ad_3,q_134739ad@rerun_24h,CONTRADICTED,Bryce Menzies Andy McMillin Tavo Vildósola,2023,VOLATILE,134833.0835328173,rerun_24h,rerun_24h,2,2605,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,5605,VALID_AT_T,SUPERSEDED_AT_T,VALID_AT_T,VALID_AT_T,DIFFERENT,0,0,2026-06-13T15:37:03.294219+00:00|2026-06-13T15:37:05.721977+00:00
p_q_e52c4939_0,q_e52c4939@rerun_24h,CONTRADICTED,Wynstock,2023,VOLATILE,274367.52673355234,rerun_24h,rerun_24h,1,2000,SUPERSEDED_AT_T,"SUPERSEDED

The evidence",SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,2770,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,DIFFERENT,0,0,2026-06-02T18:10:03.493570+00:00
p_q_359f65e2_2,q_359f65e2@rerun_24h,CONTRADICTED,Everything Everywhere All at Once,2023,SINGLE_YEAR,125319.38745600988,rerun_24h,rerun_24h,2,2639,SUPERSEDED_AT_T,"SUPERSEDED

The evidence",SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,5639,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SAME,0,0,2026-05-21T06:42:31.887335+00:00|2026-06-02T16:44:22.567008+00:00
p_q_7954a9bc_0,q_7954a9bc@rerun_24h,TEMPORALLY_AMBIGUOUS,Smugglers,2023,VOLATILE,248354.6175332074,rerun_24h,rerun_24h,1,651,INDETERMINATE_AT_T,INDETERMINATE,SUPERSEDED_AT_T,SUPERSEDED,JUDGE_DISAGREEMENT,CURRENT,651,INDETERMINATE_AT_T,SUPERSEDED_AT_T,INDETERMINATE_AT_T,INDETERMINATE_AT_T,SAME,0,0,2026-06-13T14:59:25.032885+00:00
p_q_fa771a57_3,q_fa771a57@rerun_24h,CONTRADICTED,U Carrot Farm,2023,VOLATILE,316551.6426828752,rerun_24h,rerun_24h,1,2000,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,5000,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,JUDGE_DISAGREEMENT,0,0,2026-06-02T17:16:16.908233+00:00
p_q_c7e889d2_1,q_c7e889d2@rerun_24h,CONTRADICTED,"Magnus Lindgren, John Beasley & The SWR Big Band ft. Martin Auer",2023,VOLATILE,486276.87334173266,rerun_24h,rerun_24h,1,657,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,657,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,JUDGE_DISAGREEMENT,0,0,2026-05-24T06:48:43.715544+00:00
p_q_29f9cc16_1,q_29f9cc16@rerun_24h,CONTRADICTED,Lauren Fleshman,2023,VOLATILE,316898.00703415193,rerun_24h,rerun_24h,1,2000,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,3837,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,SAME,0,0,2026-06-02T18:07:09.503685+00:00
p_q_2bbc82e4_2,q_2bbc82e4@rerun_24h,CONTRADICTED,Mike Trésor,2023,VOLATILE,159107.34537888784,rerun_24h,rerun_24h,1,1999,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,SUPERSEDED,SUPERSEDED_AT_T,CURRENT,2111,SUPERSEDED_AT_T,SUPERSEDED_AT_T,,SUPERSEDED_AT_T,DIFFERENT,0,0,2026-06-13T15:31:55.249841+00:00
